macro_signature	count	share	examples
c:1 a:1 e:1 MEDIAL_OP c:1 a:1 e:1 f:1 f:1 j:1 e:1 c:1 h:2 e:1 f:1 f:1 MEDIAL_OP c:1 h:1	1	0.0016	p007-u029
c:1 a:1 e:1 MEDIAL_OP c:1 a:1 e:1 f:1 f:1 MEDIAL_OP d:1	1	0.0016	p094-u045
c:1 a:1 e:1 MEDIAL_OP c:1 a:1 e:1 f:1 MEDIAL_OP f:1 MEDIAL_OP d:1 c:1 e:1 c:1 h:2 e:1 f:1 l:1 f:1 MEDIAL_OP d:1	1	0.0016	p006-u003
c:1 a:1 e:1 MEDIAL_OP c:1 a:1 e:1 MEDIAL_OP e:1 c:1	1	0.0016	p004-u081
c:1 a:1 e:1 MEDIAL_OP c:1 a:1 e:1 MEDIAL_OP e:1 c:1 f:1 j:1	1	0.0016	p007-u030
c:1 a:1 e:1 MEDIAL_OP c:1 a:1 e:1 MEDIAL_OP e:1 e:1 f:1 f:1 j:1	1	0.0016	p005-u005
c:1 a:1 e:1 MEDIAL_OP c:1 a:1 MEDIAL_OP d:1 c:1 f:1 MEDIAL_OP d:1 e:1 f:1 f:1 MEDIAL_OP d:1	1	0.0016	p007-u073
c:1 a:1 MEDIAL_OP c:1 a:1 c:1 e:1 c:1 h:2 e:1 f:1 f:1 MEDIAL_OP d:1	1	0.0016	p004-u014
c:1 a:1 MEDIAL_OP c:1 a:1 c:1 e:1 c:2 h:2 e:1 f:1 MEDIAL_OP f:1 MEDIAL_OP d:1	1	0.0016	p007-u053
c:1 a:1 MEDIAL_OP c:1 a:1 c:1 e:1 f:1 MEDIAL_OP f:1 MEDIAL_OP d:1	1	0.0016	p004-u038
c:1 a:1 MEDIAL_OP c:1 a:1 c:1 e:1 MEDIAL_OP e:1 c:1 f:1 MEDIAL_OP d:1	1	0.0016	p005-u027
c:1 a:1 MEDIAL_OP c:1 a:1 c:1 f:1 j:1 c:1 f:1 MEDIAL_OP c:1 h:1	1	0.0016	p007-u093
c:1 a:1 MEDIAL_OP c:1 a:1 c:1 f:1 j:1 c:1 f:1 MEDIAL_OP d:1 e:1 f:1 f:1 MEDIAL_OP c:1 h:1	1	0.0016	p007-u107
c:1 a:1 MEDIAL_OP c:1 a:1 c:1 f:1 j:1 n:1 e:1 MEDIAL_OP e:1	1	0.0016	p004-u062
c:1 a:1 MEDIAL_OP c:1 a:1 c:2 MEDIAL_OP e:1 c:1 a:1 MEDIAL_OP c:1 a:1 e:1 MEDIAL_OP e:1 e:1 h:1	1	0.0016	p094-u057
c:1 a:1 MEDIAL_OP c:1 a:1 e:1 c:1 f:1 MEDIAL_OP c:1 h:1	1	0.0016	p007-u083
c:1 a:1 MEDIAL_OP c:1 a:1 e:1 e:1 e:1	1	0.0016	p003-u177
c:1 a:1 MEDIAL_OP c:1 a:1 e:1 e:1 e:1 h:1	1	0.0016	p007-u064
c:1 a:1 MEDIAL_OP c:1 a:1 e:1 f:1 f:1 j:1	1	0.0016	p004-u044
c:1 a:1 MEDIAL_OP c:1 a:1 e:1 f:1 f:1 j:1 e:1 c:2 h:2	1	0.0016	p094-u076
c:1 a:1 MEDIAL_OP c:1 a:1 e:1 f:1 f:1 MEDIAL_OP d:1	1	0.0016	p003-u037
c:1 a:1 MEDIAL_OP c:1 a:1 e:1 f:1 l:1 f:1 MEDIAL_OP d:1	1	0.0016	p003-u096
c:1 a:1 MEDIAL_OP c:1 a:1 e:1 f:1 l:1 f:1 MEDIAL_OP d:1 l:1 f:1 MEDIAL_OP d:1	1	0.0016	p003-u076
c:1 a:1 MEDIAL_OP c:1 a:1 e:1 f:1 MEDIAL_OP f:1 MEDIAL_OP d:1 e:1 MEDIAL_OP e:1 e:1 e:1 h:1	1	0.0016	p003-u137
c:1 a:1 MEDIAL_OP c:1 a:1 e:1 MEDIAL_OP e:1 c:1 e:1 c:1 h:2 c:1	1	0.0016	p007-u043
c:1 a:1 MEDIAL_OP c:1 a:1 e:1 MEDIAL_OP e:1 c:1 e:1 h:1	1	0.0016	p003-u053
c:1 a:1 MEDIAL_OP c:1 a:1 e:1 MEDIAL_OP e:1 c:1 f:1 j:1	1	0.0016	p003-u054
c:1 a:1 MEDIAL_OP c:1 a:1 e:1 MEDIAL_OP e:1 c:1 f:1 MEDIAL_OP c:1 h:1	1	0.0016	p007-u072
c:1 a:1 MEDIAL_OP c:1 a:1 e:1 MEDIAL_OP e:1 c:1 f:1 MEDIAL_OP d:1	1	0.0016	p006-u044
c:1 a:1 MEDIAL_OP c:1 a:1 e:1 MEDIAL_OP e:1 e:1 h:1	1	0.0016	p006-u015
c:1 a:1 MEDIAL_OP c:1 a:1 MEDIAL_OP d:1 e:1 MEDIAL_OP e:1 c:1 f:1 j:1	1	0.0016	p007-u091
c:1 a:1 MEDIAL_OP c:1 a:1 n:1 e:1 MEDIAL_OP e:1 c:1	1	0.0016	p003-u074
c:1 a:1 MEDIAL_OP c:2 a:1 e:1 c:1 f:1 j:1	1	0.0016	p094-u016
c:1 e:1 a:1 e:1 MEDIAL_OP c:1 a:1 MEDIAL_OP e:1 e:1 h:1	1	0.0016	p007-u056
c:1 e:1 c:1 h:2 e:1 f:1 f:1 MEDIAL_OP d:1	1	0.0016	p003-u044
c:1 e:1 c:1 h:2 e:1 h:1	1	0.0016	p094-u031
c:1 e:1 h:1 e:1 c:1 h:2 e:1 f:1 f:1 MEDIAL_OP d:1	1	0.0016	p003-u047
c:1 e:1 MEDIAL_OP d:1 e:1 MEDIAL_OP e:1 e:1 h:1	1	0.0016	p003-u056
c:1 e:1 MEDIAL_OP e:1 c:1 f:1 j:1	1	0.0016	p003-u182
c:1 e:1 MEDIAL_OP e:1 c:1 f:1 MEDIAL_OP d:1	1	0.0016	p007-u011
c:1 e:1 MEDIAL_OP e:1 e:1 h:1	1	0.0016	p004-u011
c:1 f:1 j:1 a:1 e:1 MEDIAL_OP c:1 a:1 e:1 MEDIAL_OP e:1 e:1 e:1 h:1	1	0.0016	p004-u004
c:1 f:1 j:1 a:1 MEDIAL_OP c:1 a:1 MEDIAL_OP d:1 c:1 e:1 c:1 h:2 e:1 f:1 f:1 MEDIAL_OP d:1	1	0.0016	p005-u053
c:1 f:1 j:1 e:1 c:1 h:2 e:1 f:1 l:1 f:1 MEDIAL_OP d:1 e:1 c:1 h:2	1	0.0016	p003-u089
c:1 f:1 j:1 e:1 MEDIAL_OP d:1	1	0.0016	p003-u069
c:1 f:1 j:1 e:1 MEDIAL_OP d:1 e:1 f:1 MEDIAL_OP f:1 MEDIAL_OP d:1	1	0.0016	p005-u088
c:1 f:1 j:1 e:1 MEDIAL_OP e:1 e:1 c:1 f:1 MEDIAL_OP d:1	1	0.0016	p007-u095
c:1 f:1 j:1 e:1 MEDIAL_OP e:1 e:1 MEDIAL_OP d:1 e:1 h:1	1	0.0016	p007-u070
c:1 f:1 MEDIAL_OP d:1 e:1 h:1	1	0.0016	p003-u012
c:1 MEDIAL_OP f:1 MEDIAL_OP d:1	1	0.0016	p003-u091
c:2 a:1 MEDIAL_OP c:1 a:1 MEDIAL_OP e:1 c:1 f:1 MEDIAL_OP c:1 h:1	1	0.0016	p007-u028
