unit_id	image_name	source_molecule_id	row_index	unit_index	atoms	atom_count	bounds_x	bounds_y	bounds_w	bounds_h
p003-u087	page-003.jpg	img3-m83	11	87	e:1 a:1 e:1 b:1 c:1 a:1 b:1 d:1 g:1 e:1 c:1 e:1 c:1 h:2 e:1 f:1 k:1 f:1 j:1 e:1 i:1 d:1	22	1404	1638	325	101
p003-u088	page-003.jpg	img3-m87	11	88	n:1 e:1 g:1 e:1 c:1	5	1948	1666	111	59
p003-u089	page-003.jpg	img3-m88	11	89	c:1 f:1 j:1 e:1 c:1 h:2 e:1 f:1 l:1 f:1 i:1 d:1 e:1 c:1 h:2	15	2107	1669	269	58
p003-u090	page-003.jpg	img3-m92	12	90	e:1 c:1 h:2 e:1 f:1 l:1 f:1 i:1 d:1	9	562	1758	119	50
p003-u091	page-003.jpg	img3-m94	12	91	c:1 k:1 f:1 i:1 d:1	5	723	1755	105	45
p003-u092	page-003.jpg	img3-m95	12	92	e:1 g:1 e:1 c:1 f:1 j:1	6	882	1771	126	34
p003-u093	page-003.jpg	img3-m96	12	93	c:1 e:1 c:1 h:2 e:1 f:1 k:1 f:1 i:1 d:1	10	1058	1755	188	48
p003-u094	page-003.jpg	img3-m97	12	94	e:1 g:1 e:1 c:1 e:1 c:1 h:2 e:1 f:1 l:1 f:1 i:1 d:1	13	1292	1739	227	60
p003-u095	page-003.jpg	img3-m98	12	95	e:1 g:1 e:1 e:1 c:1 h:2 e:1 h:1	8	1572	1760	113	73
p003-u096	page-003.jpg	img3-m99	12	96	c:1 a:1 b:1 c:1 a:1 e:1 f:1 l:1 f:1 i:1 d:1	11	1740	1744	173	62
p003-u097	page-003.jpg	img3-m93	12	97	e:1 c:1 h:2 e:1 f:1 f:1 i:1 d:1	8	1948	1767	116	42
p003-u098	page-003.jpg	img3-m91	12	98	e:1 a:1 e:1 b:1 c:1 a:1 g:1 e:1 e:1 h:1	10	2106	1734	144	105
p003-u099	page-003.jpg	img3-m90	12	99	a:1 b:1 c:1 a:1 c:1 e:1 c:1 h:2	8	2307	1721	84	78
p003-u100	page-003.jpg	img3-m103	13	100	e:1 c:1 h:2 e:1 f:1 k:1 f:1 i:1 d:1	9	561	1837	138	49
p003-u101	page-003.jpg	img3-m104	13	101	n:1 e:1 g:1 e:1 e:1 a:1 b:1 c:1 a:1 g:1 e:1 e:1 e:1 h:1	14	741	1804	200	98
p003-u102	page-003.jpg	img3-m101	13	102	e:1 a:1 b:1 c:1 a:1 g:1 e:1 c:1 f:1 i:1 d:1	11	1003	1810	186	75
p003-u103	page-003.jpg	img3-m106	13	103	e:1 g:1 e:1 e:1 f:1 f:1 i:1 d:1	8	1218	1825	142	61
p003-u104	page-003.jpg	img3-m107	13	104	n:1 e:1 g:1 e:1 e:1 e:1 h:1	7	1405	1828	132	77
p003-u105	page-003.jpg	img3-m100	13	105	a:1 b:1 c:1 a:1 c:1 f:1 j:1	7	1599	1806	98	84
p003-u106	page-003.jpg	img3-m105	13	106	e:1 g:1 e:1 c:1 f:1 j:1	6	1730	1859	107	34
p003-u107	page-003.jpg	img3-m108	13	107	e:1 g:1 e:1 c:1 f:1 j:1	6	1893	1863	115	34
p003-u108	page-003.jpg	img3-m102	13	108	a:1 b:1 c:1 a:1 c:1 f:1 i:1 d:1	8	2044	1810	100	81
p003-u109	page-003.jpg	img3-m109	13	109	e:1 g:1 e:1 c:1	4	2182	1868	93	22
p003-u110	page-003.jpg	img3-m116	14	110	n:1 e:1 g:1 e:1 c:1	5	565	1904	87	53
p003-u111	page-003.jpg	img3-m114	14	111	e:1 g:1 e:1 c:1 f:1 j:1	6	689	1923	117	34
p003-u112	page-003.jpg	img3-m115	14	112	e:1 g:1 e:1 c:1 e:1 c:1 h:2 e:1 f:1 f:1 i:1 d:1	12	852	1904	230	49
p003-u113	page-003.jpg	img3-m110	14	113	a:1 b:1 c:1 a:1 n:1 e:1 g:1 e:1 e:1 h:1	10	1137	1887	145	99
p003-u114	page-003.jpg	img3-m111	14	114	a:1 b:1 c:1 a:1 e:1 g:1 e:1 c:1	8	1325	1891	128	66
p003-u115	page-003.jpg	img3-m113	14	115	e:1 c:1 h:2 c:1 f:1 i:1 d:1	7	1512	1909	109	50
p003-u116	page-003.jpg	img3-m118	14	116	e:1 g:1 e:1 c:1 e:1 c:1 h:2 e:1 f:1 k:1 f:1 i:1 d:1	13	1664	1907	276	54
p003-u117	page-003.jpg	img3-m117	14	117	n:1 e:1 g:1 e:1 c:1	5	1999	1904	90	54
p003-u118	page-003.jpg	img3-m112	14	118	a:1 b:1 c:1 a:1 e:1 g:1 e:1 c:1 f:1 i:1 c:1 h:1	12	2127	1892	203	88
p003-u119	page-003.jpg	img3-m124	15	119	e:1 h:1 e:1 g:1 e:1 c:1	6	572	2000	140	52
