signature	count	atom_count	folios	folio_count	images	example_molecules
e:1 a:1 e:1 b:1 c:1 a:1 g:1 e:1 e:1 e:1 h:1	1	11	f2r	1	page-005.jpg	p005-m077
e:1 a:1 e:1 b:1 c:1 a:1 g:1 e:1 e:1 e:1 h:1 e:1 h:1	1	13	f2r	1	page-005.jpg	p005-m016
e:1 a:1 e:1 b:1 c:1 a:1 g:1 e:1 e:1 f:1 f:1 i:1 d:1 e:1 c:2 h:2 e:1 f:1 f:1 i:1 d:1	1	21	f1r	1	page-003.jpg	p003-m018
e:1 a:1 e:1 b:1 c:1 a:1 g:1 e:1 e:1 f:1 j:1 e:1 i:1 d:1	1	14	f1r	1	page-003.jpg	p003-m138
e:1 a:1 e:1 b:1 c:1 a:1 g:1 e:1 e:1 i:1 d:1 e:1 e:1 i:1 d:1	1	15	f1r	1	page-003.jpg	p003-m007
e:1 a:1 e:1 b:1 c:1 a:1 g:1 e:1 f:1 c:1 f:1 i:1 d:1	1	13	f1r	1	page-003.jpg	p003-m032
e:1 a:1 m:1 c:1 a:1 b:1 d:1 g:1 e:1 c:1 e:1 h:1	1	12	f1r	1	page-003.jpg	p003-m045
e:1 a:1 m:1 c:1 a:1 b:1 d:1 g:1 e:1 e:1 e:1 f:1 f:1 j:1 e:1 h:1	1	16	f1r	1	page-003.jpg	p003-m130
e:1 a:1 m:1 c:1 a:1 b:1 d:1 g:1 e:1 e:1 e:1 i:1 d:1 e:1 f:1 k:1 f:1 i:1 d:1	1	19	f1r	1	page-003.jpg	p003-m067
e:1 a:1 m:1 c:1 a:1 b:1 d:1 g:1 e:1 e:1 f:1 f:1 i:1 d:1	1	14	f1r	1	page-003.jpg	p003-m040
e:1 a:1 m:1 c:1 a:1 b:1 d:1 g:1 e:1 e:1 h:1	1	11	f2r	1	page-005.jpg	p005-m024
e:1 a:1 m:1 c:1 a:1 c:2 g:1 e:1 e:1 e:1 h:1	1	11	f47v	1	page-094.jpg	p094-m083
e:1 a:1 m:1 c:1 a:1 d:1 g:1 e:1 e:1 h:1	1	10	f47v	1	page-094.jpg	p094-m003
e:1 a:1 m:1 c:1 a:1 g:1 e:1 e:1 c:1 h:2 e:1 h:1	1	12	f47v	1	page-094.jpg	p094-m042
e:1 a:1 m:1 c:1 a:1 g:1 e:1 e:1 e:1 h:1	1	10	f1v	1	page-004.jpg	p004-m056
