skeleton	optional_index	base_count	expanded_count	total_count	optional_values	folios	example_expansions
e:1 a:1 b:1 c:1 a:1 g:1 e:1 e:1 h:1	8	1	2	3	e:1:2	f1r,f2r	e:1 a:1 b:1 c:1 a:1 g:1 e:1 e:1 e:1 h:1
e:1 a:1 b:1 c:1 a:1 g:1 e:1 e:1 h:1	9	1	2	3	e:1:2	f1r,f2r	e:1 a:1 b:1 c:1 a:1 g:1 e:1 e:1 e:1 h:1
e:1 a:1 m:1 c:1 a:1 g:1 e:1 e:1 h:1	7	2	1	3	e:1:1	f1r,f1v	e:1 a:1 m:1 c:1 a:1 g:1 e:1 e:1 e:1 h:1
e:1 a:1 m:1 c:1 a:1 g:1 e:1 e:1 h:1	8	2	1	3	e:1:1	f1r,f1v	e:1 a:1 m:1 c:1 a:1 g:1 e:1 e:1 e:1 h:1
e:1 a:1 m:1 c:1 a:1 g:1 e:1 e:1 h:1	9	2	1	3	e:1:1	f1r,f1v	e:1 a:1 m:1 c:1 a:1 g:1 e:1 e:1 e:1 h:1
e:1 c:1 h:2 c:1 f:1 i:1 d:1	5	2	1	3	k:1:1	f1r,f47v	e:1 c:1 h:2 c:1 k:1 f:1 i:1 d:1
e:1 i:1 d:1 e:1 f:1 f:1 i:1 d:1 e:1 h:1	6	2	1	3	l:1:1	f1r,f47v	e:1 i:1 d:1 e:1 f:1 l:1 f:1 i:1 d:1 e:1 h:1
e:1 c:1 h:2 c:1 f:1 j:1	7	4	1	5	c:1:1	f1v	e:1 c:1 h:2 c:1 f:1 j:1 c:1
c:1 a:1 b:1 c:1 a:1 e:1 f:1 f:1 i:1 d:1	8	1	3	4	k:1:2 l:1:1	f1r	c:1 a:1 b:1 c:1 a:1 e:1 f:1 k:1 f:1 i:1 d:1 | c:1 a:1 b:1 c:1 a:1 e:1 f:1 l:1 f:1 i:1 d:1
a:1 b:1 c:1 a:1 e:1 f:1 k:1 f:1 i:1 d:1	1	1	2	3	c:1:2	f1r	c:1 a:1 b:1 c:1 a:1 e:1 f:1 k:1 f:1 i:1 d:1
e:1 a:1 m:1 c:1 a:1 g:1 e:1 e:1 f:1 f:1 i:1 d:1	10	2	1	3	k:1:1	f1r	e:1 a:1 m:1 c:1 a:1 g:1 e:1 e:1 f:1 k:1 f:1 i:1 d:1
e:1 c:1 h:2 e:1 f:1 f:1 j:1 d:1	6	1	2	3	k:1:1 l:1:1	f47v	e:1 c:1 h:2 e:1 f:1 k:1 f:1 j:1 d:1 | e:1 c:1 h:2 e:1 f:1 l:1 f:1 j:1 d:1
