atom_id	image_name	token	predicted_centroid	centroid_correct	predicted_knn	knn_correct	nearest_distance	snapshot_path
3256	page-003.jpg	g:1	g:1	yes	g:1	yes	9.2483	atoms\g_1\page-003.jpg\3256.svg
3244	page-003.jpg	e:1	e:1	yes	e:1	yes	2.2832	atoms\e_1\page-003.jpg\3244.svg
3270	page-003.jpg	c:1	c:1	yes	c:1	yes	12.6490	atoms\c_1\page-003.jpg\3270.svg
3245	page-003.jpg	e:1	e:1	yes	e:1	yes	2.2832	atoms\e_1\page-003.jpg\3245.svg
3271	page-003.jpg	c:1	c:1	yes	c:1	yes	26.0775	atoms\c_1\page-003.jpg\3271.svg
3285	page-003.jpg	h:2	h:2	yes	h:2	yes	11.8411	atoms\h_2\page-003.jpg\3285.svg
3246	page-003.jpg	e:1	e:1	yes	e:1	yes	2.2832	atoms\e_1\page-003.jpg\3246.svg
3280	page-003.jpg	f:1	f:1	yes	f:1	yes	1.5939	atoms\f_1\page-003.jpg\3280.svg
3306	page-003.jpg	k:1	b:1	no	k:1	yes	15.0821	atoms\k_1\page-003.jpg\3306.svg
3281	page-003.jpg	f:1	f:1	yes	f:1	yes	1.5939	atoms\f_1\page-003.jpg\3281.svg
3290	page-003.jpg	i:1	i:1	yes	i:1	yes	23.8109	atoms\i_1\page-003.jpg\3290.svg
3294	page-003.jpg	d:1	d:1	yes	d:1	yes	10.7089	atoms\d_1\page-003.jpg\3294.svg
3321	page-003.jpg	e:1	e:1	yes	e:1	yes	2.2832	atoms\e_1\page-003.jpg\3321.svg
3371	page-003.jpg	a:1	a:1	yes	a:1	yes	8.6294	atoms\a_1\page-003.jpg\3371.svg
3322	page-003.jpg	e:1	c:1	no	e:1	yes	20.8022	atoms\e_1\page-003.jpg\3322.svg
3397	page-003.jpg	b:1	b:1	yes	b:1	yes	9.7853	atoms\b_1\page-003.jpg\3397.svg
3353	page-003.jpg	c:1	c:1	yes	c:1	yes	25.5892	atoms\c_1\page-003.jpg\3353.svg
3372	page-003.jpg	a:1	a:1	yes	a:1	yes	8.0401	atoms\a_1\page-003.jpg\3372.svg
3363	page-003.jpg	b:1	b:1	yes	b:1	yes	11.1558	atoms\b_1\page-003.jpg\3363.svg
3398	page-003.jpg	d:1	d:1	yes	d:1	yes	10.3785	atoms\d_1\page-003.jpg\3398.svg
3689	page-003.jpg	n:1	n:1	yes	n:1	yes	17.3038	atoms\n_1\page-003.jpg\3689.svg
3323	page-003.jpg	e:1	e:1	yes	e:1	yes	2.2832	atoms\e_1\page-003.jpg\3323.svg
3346	page-003.jpg	g:1	g:1	yes	g:1	yes	7.9947	atoms\g_1\page-003.jpg\3346.svg
3324	page-003.jpg	e:1	e:1	yes	e:1	yes	2.2832	atoms\e_1\page-003.jpg\3324.svg
3354	page-003.jpg	c:1	c:1	yes	c:1	yes	12.6490	atoms\c_1\page-003.jpg\3354.svg
3387	page-003.jpg	f:1	f:1	yes	f:1	yes	1.5939	atoms\f_1\page-003.jpg\3387.svg
3389	page-003.jpg	j:1	j:1	yes	j:1	yes	5.3437	atoms\j_1\page-003.jpg\3389.svg
3310	page-003.jpg	e:1	e:1	yes	e:1	yes	2.2832	atoms\e_1\page-003.jpg\3310.svg
3343	page-003.jpg	g:1	g:1	yes	g:1	yes	9.4588	atoms\g_1\page-003.jpg\3343.svg
3311	page-003.jpg	e:1	e:1	yes	e:1	yes	2.2832	atoms\e_1\page-003.jpg\3311.svg
3312	page-003.jpg	e:1	e:1	yes	e:1	yes	2.2832	atoms\e_1\page-003.jpg\3312.svg
3367	page-003.jpg	a:1	a:1	yes	a:1	yes	6.9272	atoms\a_1\page-003.jpg\3367.svg
3366	page-003.jpg	e:1	d:1	no	e:1	yes	20.4265	atoms\e_1\page-003.jpg\3366.svg
3361	page-003.jpg	b:1	g:1	no	g:1	no	8.0095	atoms\b_1\page-003.jpg\3361.svg
3350	page-003.jpg	c:1	c:1	yes	c:1	yes	23.1325	atoms\c_1\page-003.jpg\3350.svg
3368	page-003.jpg	a:1	a:1	yes	a:1	yes	13.0365	atoms\a_1\page-003.jpg\3368.svg
3313	page-003.jpg	e:1	e:1	yes	e:1	yes	2.2832	atoms\e_1\page-003.jpg\3313.svg
3337	page-003.jpg	h:1	h:1	yes	h:1	yes	6.7916	atoms\h_1\page-003.jpg\3337.svg
1168	page-003.jpg	a:1	a:1	yes	a:1	yes	9.4677	atoms\a_1\page-003.jpg\1168.svg
1169	page-003.jpg	b:1	b:1	yes	b:1	yes	19.1160	atoms\b_1\page-003.jpg\1169.svg
1170	page-003.jpg	c:1	c:1	yes	c:1	yes	22.7548	atoms\c_1\page-003.jpg\1170.svg
1171	page-003.jpg	a:1	a:1	yes	a:1	yes	7.9979	atoms\a_1\page-003.jpg\1171.svg
1172	page-003.jpg	e:1	e:1	yes	e:1	yes	2.2832	atoms\e_1\page-003.jpg\1172.svg
