representation	folio	molecule_uid	source_molecule_id	sequence_length	symbol_index	observed_symbol	left_symbol	right_symbol	positional_role	local_context	context_seen_in_train	observed_in_train_vocab	probability	log_loss_bits	top1_symbol	top1_correct
EVA	f2r	p005-m006	img5-m4	7	2	k	c	h	medial	length=7|role=medial|left=c|right=h	no	yes	0.0625	4	a	no
EVA	f2r	p005-m006	img5-m4	7	3	h	k	o	medial	length=7|role=medial|left=k|right=o	no	yes	0.0625	4	a	no
EVA	f2r	p005-m006	img5-m4	7	4	o	h	l	medial	length=7|role=medial|left=h|right=l	yes	yes	0.16666666666666666	2.584962500721156	o	yes
EVA	f2r	p005-m006	img5-m4	7	5	l	o	s	medial	length=7|role=medial|left=o|right=s	yes	yes	0.16666666666666666	2.584962500721156	l	yes
EVA	f2r	p005-m006	img5-m4	7	6	s	l	y	medial	length=7|role=medial|left=l|right=y	no	yes	0.0625	4	a	no
EVA	f2v	p006-m001	img6-m1	6	2	o	k	o	medial	length=6|role=medial|left=k|right=o	no	yes	0.0625	4	a	no
EVA	f2v	p006-m001	img6-m1	6	3	o	o	i	medial	length=6|role=medial|left=o|right=i	no	yes	0.0625	4	a	no
EVA	f2v	p006-m001	img6-m1	6	4	i	o	i	medial	length=6|role=medial|left=o|right=i	no	yes	0.0625	4	a	no
EVA	f2v	p006-m001	img6-m1	6	5	i	i	n	medial	length=6|role=medial|left=i|right=n	yes	yes	0.16666666666666666	2.584962500721156	i	yes
EVA	f2v	p006-m002	img6-m3	4	2	h	c	e	medial	length=4|role=medial|left=c|right=e	no	yes	0.0625	4	a	no
EVA	f2v	p006-m002	img6-m3	4	3	e	h	o	medial	length=4|role=medial|left=h|right=o	no	yes	0.0625	4	a	no
EVA	f2v	p006-m003	img6-m6	5	2	c	p	h	medial	length=5|role=medial|left=p|right=h	no	yes	0.0625	4	a	no
EVA	f2v	p006-m003	img6-m6	5	3	h	c	o	medial	length=5|role=medial|left=c|right=o	yes	yes	0.16666666666666666	2.584962500721156	h	yes
EVA	f2v	p006-m003	img6-m6	5	4	o	h	r	medial	length=5|role=medial|left=h|right=r	yes	yes	0.13636363636363635	2.8744691179161412	a	no
EVA	f2v	p006-m004	img6-m7	6	2	t	o	a	medial	length=6|role=medial|left=o|right=a	no	yes	0.0625	4	a	no
EVA	f2v	p006-m004	img6-m7	6	3	a	t	i	medial	length=6|role=medial|left=t|right=i	yes	yes	0.16666666666666666	2.584962500721156	a	yes
EVA	f2v	p006-m004	img6-m7	6	4	i	a	i	medial	length=6|role=medial|left=a|right=i	yes	yes	0.16666666666666666	2.584962500721156	i	yes
EVA	f2v	p006-m004	img6-m7	6	5	i	i	n	medial	length=6|role=medial|left=i|right=n	yes	yes	0.16666666666666666	2.584962500721156	i	yes
EVA	f2v	p006-m006	img6-m2	4	2	a	d	i	medial	length=4|role=medial|left=d|right=i	no	yes	0.0625	4	a	yes
EVA	f2v	p006-m006	img6-m2	4	3	i	a	n	medial	length=4|role=medial|left=a|right=n	no	yes	0.0625	4	a	no
EVA	f2v	p006-m007	img6-m4	4	2	o	q	t	medial	length=4|role=medial|left=q|right=t	no	yes	0.0625	4	a	no
EVA	f2v	p006-m007	img6-m4	4	3	t	o	y	medial	length=4|role=medial|left=o|right=y	no	yes	0.0625	4	a	no
EVA	f2v	p006-m008	img6-m5	4	2	h	c	o	medial	length=4|role=medial|left=c|right=o	no	yes	0.0625	4	a	no
EVA	f2v	p006-m008	img6-m5	4	3	o	h	r	medial	length=4|role=medial|left=h|right=r	yes	yes	0.05555555555555555	4.169925001442312	a	no
EVA	f2v	p006-m009	img6-m9	5	2	a	d	i	medial	length=5|role=medial|left=d|right=i	no	yes	0.0625	4	a	yes
EVA	f2v	p006-m009	img6-m9	5	3	i	a	i	medial	length=5|role=medial|left=a|right=i	no	yes	0.0625	4	a	no
EVA	f2v	p006-m009	img6-m9	5	4	i	i	n	medial	length=5|role=medial|left=i|right=n	no	yes	0.0625	4	a	no
