unit_id	image_id	image_name	source_molecule_id	row_index	unit_index	atoms	atom_ids	atom_count	bounds_x	bounds_y	bounds_w	bounds_h
p005-u070	5	page-005.jpg	img5-m68	9	70	e:1 c:1 h:2 e:1 f:1 f:1 i:1 d:1 l:1 f:1 i:1 d:1	5874 6047 6098 5875 6181 6504 6505 6506 6507 6182 6359 6361	12	2221	2570	138	61
p005-u071	5	page-005.jpg	img5-m72	10	71	m:1 a:1 n:1 c:1 i:1 a:1 b:1 c:1 a:1 e:1 h:1	6392 5965 6496 6038 6508 5966 5996 6039 5964 5760 5931	11	463	2618	129	81
p005-u072	5	page-005.jpg	img5-m73	10	72	e:1 g:1 e:1 c:1 f:1 j:1 e:1 f:1 k:1 f:1 i:1 d:1	5791 6437 5792 6040 6172 6473 5793 6173 6235 6174 6297 6356	12	654	2626	226	50
p005-u073	5	page-005.jpg	img5-m76	10	73	c:1 f:1 j:1	6041 6175 6474	3	1014	2652	52	34
p005-u074	5	page-005.jpg	img5-m78	10	74	n:1 e:1 g:1 e:1	6498 5796 6439 5797	4	1133	2633	55	47
p005-u075	5	page-005.jpg	img5-m79	10	75	a:1 b:1 c:1 a:1 e:1 h:1 e:1	5967 5997 6042 5968 5799 5932 5798	7	1200	2630	82	80
p005-u076	5	page-005.jpg	img5-m74	10	76	e:1 c:1 h:2 e:1 f:1 k:1 f:1 i:1 d:1	5800 6043 6097 5801 6176 6236 6177 6298 6357	9	1325	2645	131	43
p005-u077	5	page-005.jpg	img5-m70	10	77	e:1 a:1 e:1 b:1 c:1 a:1 g:1 e:1 e:1 e:1 h:1	5865 5969 5867 5998 6044 5972 6440 5866 5870 5869 5933	11	1670	2607	152	89
p005-u078	5	page-005.jpg	img5-m69	10	78	a:1 b:1 c:1 a:1 e:1 c:1 f:1 j:1	5973 5999 6045 5974 5871 6046 6178 6475	8	1861	2601	130	68
p005-u079	5	page-005.jpg	img5-m82	10	79	n:1 e:1 g:1 e:1	6499 5882 6443 5881	4	1948	2682	58	48
p005-u080	5	page-005.jpg	img5-m77	10	80	e:1 a:1 b:1 c:1 a:1 g:1 e:1 c:1 f:1 i:1 d:1	5877 5975 6000 6049 5976 6444 5876 6048 6183 6311 6362	11	2146	2652	145	69
p005-u081	5	page-005.jpg	img5-m87	11	81	e:1 h:1 e:1 g:1 e:1 e:1 f:1 l:1 f:1 i:1 d:1	5761 5936 5802 6481 5803 5804 6201 6303 6200 6302 6371	11	486	2713	193	70
p005-u082	5	page-005.jpg	img5-m80	11	82	e:1 c:1 h:2 e:1 f:1 f:1 j:1	5805 6054 6101 5806 6199 6198 6480	7	727	2696	85	68
p005-u083	5	page-005.jpg	img5-m85	11	83	e:1 g:1 e:1 e:1 h:1	5807 6479 5808 5809 5935	5	844	2728	84	51
p005-u084	5	page-005.jpg	img5-m83	11	84	e:1 c:1 h:2 e:1 f:1 f:1 j:1 c:1 f:1 i:1 d:1	5810 6053 6100 5811 6197 6196 6478 6052 6195 6301 6368	11	976	2717	166	62
p005-u085	5	page-005.jpg	img5-m89	11	85	n:1 e:1 g:1 e:1	6500 5812 6477 5814	4	1184	2711	64	55
p005-u086	5	page-005.jpg	img5-m88	11	86	e:1 f:1 f:1 i:1 d:1	5815 6190 6191 6300 6367	5	1261	2718	76	45
p005-u087	5	page-005.jpg	img5-m84	11	87	e:1 c:1 h:2 e:1 f:1 f:1 i:1 d:1	5816 6051 6099 5817 6188 6187 6299 6366	8	1377	2720	113	44
p005-u088	5	page-005.jpg	img5-m86	11	88	c:1 f:1 j:1 e:1 i:1 d:1 e:1 f:1 k:1 f:1 i:1 d:1	6050 6186 6476 5884 6313 6364 5883 6185 6239 6184 6312 6365	12	1664	2694	235	62
p005-u089	5	page-005.jpg	img5-m81	11	89	e:1 e:1 e:1 h:1	5880 5879 5878 5934	4	2016	2701	68	50
p005-u090	5	page-005.jpg	img5-m97	12	90	c:1 a:1 b:1 c:1 a:1 c:1 f:1 j:1	6055 5985 6001 6056 5986 6057 6202 6483	8	488	2771	117	92
p005-u091	5	page-005.jpg	img5-m94	12	91	e:1 g:1 e:1 e:1 h:1	5762 6451 5763 5828 5937	5	656	2813	81	50
p005-u092	5	page-005.jpg	img5-m95	12	92	e:1 g:1 e:1 c:1 f:1 i:1 d:1	5827 6450 5826 6060 6203 6304 6372	7	769	2790	112	52
p005-u093	5	page-005.jpg	img5-m90	12	93	e:1 a:1 e:1 b:1 c:1 a:1 g:1 e:1 c:1 f:1 i:1 d:1	5824 5987 5825 6002 6062 5988 6449 5823 6063 6204 6305 6373	12	943	2779	164	71
p005-u094	5	page-005.jpg	img5-m99	12	94	e:1 h:1 c:1 f:1 i:1 d:1	5822 5938 6064 6205 6306 6374	6	1160	2807	90	73
p005-u095	5	page-005.jpg	img5-m98	12	95	e:1 f:1 f:1 i:1 d:1	5821 6206 6207 6307 6375	5	1291	2800	71	55
p005-u096	5	page-005.jpg	img5-m96	12	96	e:1 g:1 e:1 e:1 f:1 f:1 i:1 d:1	5820 6448 5819 5818 6208 6209 6308 6376	8	1393	2797	114	51
p005-u097	5	page-005.jpg	img5-m91	12	97	e:1 i:1 d:1 e:1 f:1 k:1 f:1 i:1 d:1	5885 6309 6377 5886 6210 6240 6211 6310 6378	9	1641	2785	155	46
p005-u098	5	page-005.jpg	img5-m93	12	98	e:1 g:1 e:1 e:1 a:1 e:1 b:1 c:1 a:1 e:1 h:1	5887 6447 5888 5889 5979 5890 6003 6066 5980 5891 5939	11	1850	2741	145	96
p005-u099	5	page-005.jpg	img5-m92	12	99	e:1 g:1 e:1 e:1 h:1 a:1 b:1 c:1 a:1 e:1 h:1 e:1 i:1 d:1 e:1 f:1 f:1 j:1	5892 6446 5893 5941 5942 5977 6004 6067 5978 5894 5940 5895 8273 6380 5896 6212 6213 6484	18	2047	2735	281	97
p005-u100	5	page-005.jpg	img5-m101	13	100	n:1 e:1 g:1 e:1 c:1	6501 5764 6452 5829 6058	5	493	2864	87	61
p005-u101	5	page-005.jpg	img5-m102	13	101	e:1 h:1 a:1 b:1 c:1 a:1 e:1 e:1 e:1 h:1	5830 5946 6009 6010 6059 5984 5831 5832 5833 5945	10	621	2856	146	98
p005-u102	5	page-005.jpg	img5-m103	13	102	e:1 g:1 e:1 e:1 e:1 h:1	5834 6453 5835 5836 5837 5944	6	824	2906	116	51
p005-u103	5	page-005.jpg	img5-m100	13	103	e:1 c:1 h:2 e:1 f:1 k:1 f:1 i:1 d:1	5838 6061 6102 5839 6214 6241 6215 6314 6381	9	986	2885	143	49
p005-u104	5	page-005.jpg	img5-m104	13	104	e:1 g:1 e:1 e:1 a:1 e:1 b:1 c:1 a:1 g:1 e:1 e:1 h:1	5840 6454 5841 5842 5981 5897 6007 6065 5982 6455 5843 5844 5943	13	1186	2878	182	84
