molecule_uid	folio	image_name	source_molecule_id	row_index	unit_index	line_position	signature	atom_count	atom_ids	particle_count	particles	particle_ids	eva_line	eva_token_index	eva_token	bounds_x	bounds_y	bounds_w	bounds_h
p006-m035	f2v	page-006.jpg	img6-m29	5	35	5.35	e:1 c:1 h:2 e:1 f:1 k:1 f:1 i:1 d:1	9	6894 6623 7021 6895 6690 6664 6689 6739 6773	3	e:1 c:1 h:2 | e:1 f:1 | k:1 f:1 i:1 d:1	img6-m29-p1 img6-m29-p2 img6-m29-p3				2275	2240	137	45
p006-m036	f2v	page-006.jpg	img6-m36	6	36	6.36	e:1 c:1 h:2 c:1 f:1 i:1 d:1	7	6916 6635 7023 6634 6697 6744 6779	3	e:1 c:1 h:2 | c:1 | f:1 i:1 d:1	img6-m36-p1 img6-m36-p2 img6-m36-p3				643	2286	91	51
p006-m037	f2v	page-006.jpg	img6-m38	6	37	6.37	e:1 g:1 e:1 c:1 f:1 j:1	6	6915 7000 6914 6633 6698 7066	3	e:1 g:1 e:1 | c:1 | f:1 j:1	img6-m38-p1 img6-m38-p2 img6-m38-p3				771	2313	111	35
p006-m038	f2v	page-006.jpg	img6-m39	6	38	6.38	e:1 g:1 e:1 c:1 f:1 i:1 d:1	7	6913 6999 6912 6632 6699 6743 6778	3	e:1 g:1 e:1 | c:1 | f:1 i:1 d:1	img6-m39-p1 img6-m39-p2 img6-m39-p3				936	2302	115	52
p006-m039	f2v	page-006.jpg	img6-m40	6	39	6.39	e:1 g:1 e:1 c:1 f:1 j:1	6	6911 6998 6910 6631 6700 7065	3	e:1 g:1 e:1 | c:1 | f:1 j:1	img6-m40-p1 img6-m40-p2 img6-m40-p3				1093	2337	113	34
p006-m040	f2v	page-006.jpg	img6-m37	6	40	6.40	a:1 b:1 c:1 a:1 e:1 c:1 f:1 j:1	8	6546 6569 6629 6547 6909 6630 6701 7064	4	a:1 b:1 c:1 a:1 | e:1 | c:1 | f:1 j:1	img6-m37-p1 img6-m37-p2 img6-m37-p3 img6-m37-p4				1255	2297	114	79
p006-m041	f2v	page-006.jpg	img6-m42	6	41	6.41	e:1 g:1 e:1 e:1 h:1	5	6908 6997 6907 6906 7054	2	e:1 g:1 e:1 | e:1 h:1	img6-m42-p1 img6-m42-p2				1412	2352	85	50
p006-m042	f2v	page-006.jpg	img6-m44	6	42	6.42	e:1 g:1 e:1 a:1 e:1 b:1 c:1 a:1 e:1 h:1	10	6905 6996 6904 6544 7040 6568 6628 6545 6903 7053	3	e:1 g:1 e:1 | a:1 e:1 b:1 c:1 a:1 | e:1 h:1	img6-m44-p1 img6-m44-p2 img6-m44-p3				1536	2308	127	95
p006-m043	f2v	page-006.jpg	img6-m41	6	43	6.43	e:1 c:1 h:2 e:1 f:1 k:1 f:1 i:1 d:1	9	6901 6627 7022 6902 6702 6665 6703 6742 6777	3	e:1 c:1 h:2 | e:1 f:1 | k:1 f:1 i:1 d:1	img6-m41-p1 img6-m41-p2 img6-m41-p3				1776	2345	159	49
p006-m044	f2v	page-006.jpg	img6-m45	6	44	6.44	c:1 a:1 m:1 c:1 a:1 e:1 g:1 e:1 c:1 f:1 i:1 d:1	12	6626 6542 7039 6625 6543 6900 6995 6899 6624 6704 6741 6776	5	c:1 | a:1 m:1 c:1 a:1 | e:1 g:1 e:1 | c:1 | f:1 i:1 d:1	img6-m45-p1 img6-m45-p2 img6-m45-p3 img6-m45-p4 img6-m45-p5				1985	2314	221	68
p006-m045	f2v	page-006.jpg	img6-m43	6	45	6.45	e:1 g:1 e:1 e:1 f:1 f:1 i:1 d:1	8	6898 6994 6897 6896 6705 6706 6740 6775	3	e:1 g:1 e:1 | e:1 f:1 | f:1 i:1 d:1	img6-m43-p1 img6-m43-p2 img6-m43-p3				2238	2318	121	57
p006-m046	f2v	page-006.jpg	img6-m46	7	46	7.46	e:1 c:1 h:2 e:1 f:1 k:1 f:1 i:1 d:1	9	6917 6636 7024 6918 6710 6666 6709 6745 6780	3	e:1 c:1 h:2 | e:1 f:1 | k:1 f:1 i:1 d:1	img6-m46-p1 img6-m46-p2 img6-m46-p3				636	2372	140	44
p006-m047	f2v	page-006.jpg	img6-m47	7	47	7.47	e:1 g:1 e:1 c:1 a:1 m:1 c:1 a:1 e:1 g:1 e:1 e:1 e:1 h:1	14	6919 7001 6920 6637 6548 7041 6638 6549 6921 7002 6922 6923 6924 7055	6	e:1 g:1 e:1 | c:1 | a:1 m:1 c:1 a:1 | e:1 g:1 e:1 | e:1 | e:1 h:1	img6-m47-p1 img6-m47-p2 img6-m47-p3 img6-m47-p4 img6-m47-p5 img6-m47-p6				812	2354	276	102
p006-m048	f2v	page-006.jpg	img6-m48	7	48	7.48	a:1 m:1 c:1 a:1 e:1 b:1 c:1 a:1 e:1 e:1 e:1 e:1 h:1	13	6550 7042 6639 6551 6925 6570 6640 6552 6926 6927 6928 6929 7056	6	a:1 m:1 c:1 | a:1 e:1 b:1 c:1 a:1 | e:1 | e:1 | e:1 | e:1 h:1	img6-m48-p1 img6-m48-p2 img6-m48-p3 img6-m48-p4 img6-m48-p5 img6-m48-p6				1129	2373	244	103
p006-m049	f2v	page-006.jpg	img6-m50	7	49	7.49	e:1 g:1 e:1 c:1 a:1 b:1 c:1 a:1 e:1 c:1 e:1 i:1 d:1	13	6930 7003 6931 6641 6553 6571 6642 6554 6932 6643 6933 6746 6793	6	e:1 g:1 e:1 | c:1 | a:1 b:1 c:1 a:1 | e:1 | c:1 | e:1 i:1 d:1	img6-m50-p1 img6-m50-p2 img6-m50-p3 img6-m50-p4 img6-m50-p5 img6-m50-p6				1429	2392	250	60
p006-m050	f2v	page-006.jpg	img6-m51	7	50	7.50	e:1 g:1 e:1 e:1 e:1 e:1 i:1 d:1	8	6934 7004 6935 6936 6937 6938 6747 6794	4	e:1 g:1 e:1 | e:1 | e:1 | e:1 i:1 d:1	img6-m51-p1 img6-m51-p2 img6-m51-p3 img6-m51-p4				1777	2404	168	50
p006-m051	f2v	page-006.jpg	img6-m52	7	51	7.51	e:1 g:1 e:1 e:1 i:1 d:1	6	6939 7005 6940 6941 6748 6795	2	e:1 g:1 e:1 | e:1 i:1 d:1	img6-m52-p1 img6-m52-p2				2004	2396	102	57
p006-m052	f2v	page-006.jpg	img6-m49	7	52	7.52	e:1 g:1 e:1 e:1 e:1 f:1 k:1 f:1 i:1 d:1	10	6942 7006 6943 6944 6945 6708 6668 6707 6749 6796	4	e:1 g:1 e:1 | e:1 | e:1 f:1 | k:1 f:1 i:1 d:1	img6-m49-p1 img6-m49-p2 img6-m49-p3 img6-m49-p4				2145	2403	212	46
p006-m053	f2v	page-006.jpg	img6-m53	8	53	8.53	e:1 g:1 e:1 c:1 a:1 b:1 c:1 a:1 c:1 f:1 n:1 c:2 g:1 e:1 e:1	15	6959 7011 6958 6654 6555 6572 6652 6556 6653 6711 7034 6651 7010 6957 6956	8	e:1 g:1 e:1 | c:1 | a:1 b:1 c:1 a:1 | c:1 | f:1 | n:1 | c:2 g:1 e:1 | e:1	img6-m53-p1 img6-m53-p2 img6-m53-p3 img6-m53-p4 img6-m53-p5 img6-m53-p6 img6-m53-p7 img6-m53-p8				631	2431	276	65
p006-m054	f2v	page-006.jpg	img6-m55	8	54	8.54	e:1 g:1 e:1 c:1 f:1 i:1 d:1	7	6955 7009 6954 6650 6712 6750 6797	3	e:1 g:1 e:1 | c:1 | f:1 i:1 d:1	img6-m55-p1 img6-m55-p2 img6-m55-p3				974	2468	131	43
p006-m055	f2v	page-006.jpg	img6-m56	8	55	8.55	e:1 g:1 e:1 e:1 c:1 f:1 j:1	7	6953 7008 6952 6951 6649 6713 7069	4	e:1 g:1 e:1 | e:1 | c:1 | f:1 j:1	img6-m56-p1 img6-m56-p2 img6-m56-p3 img6-m56-p4				1170	2493	138	34
p006-m056	f2v	page-006.jpg	img6-m57	8	56	8.56	e:1 g:1 e:1 c:1 f:1 j:1	6	6950 7007 6949 6648 6714 7068	3	e:1 g:1 e:1 | c:1 | f:1 j:1	img6-m57-p1 img6-m57-p2 img6-m57-p3				1359	2498	123	34
p006-m057	f2v	page-006.jpg	img6-m54	8	57	8.57	e:1 c:1 h:2 c:1 f:1 j:1 c:1 e:1 c:1 h:2 e:1 h:1	12	6948 6647 7026 6646 6715 7067 6645 6947 6644 7025 6946 7057	6	e:1 c:1 h:2 | c:1 | f:1 j:1 | c:1 | e:1 c:1 h:2 | e:1 h:1	img6-m54-p1 img6-m54-p2 img6-m54-p3 img6-m54-p4 img6-m54-p5 img6-m54-p6				1522	2481	191	76
