subset	representation	folio	line	region_id	relation_type	alignment_confidence	sequence_length	predicted_opportunities	unseen_context_count	log_loss_bits	normalized_log_loss	top1_correct_count	top1_accuracy	mean_observed_probability	sequence
all	ATOMS	f2v	7	f2v-l7-r002	1:1	medium	13	11	1	36.91454207160002	0.8389668652636367	4	0.36363636363636365	0.11550734618916438	a:1 m:1 c:1 a:1 e:1 b:1 c:1 a:1 e:1 e:1 e:1 e:1 h:1
all	ATOMS	f2v	7	f2v-l7-r003	N:M	low	27	25	12	89.47050543293095	0.8947050543293095	7	0.28	0.10191919191919192	e:1 g:1 e:1 c:1 a:1 b:1 c:1 a:1 e:1 c:1 e:1 i:1 d:1 e:1 g:1 e:1 e:1 e:1 e:1 i:1 d:1 e:1 g:1 e:1 e:1 i:1 d:1
all	ATOMS	f2v	7	f2v-l7-r004	1:1	medium	10	8	3	23.747496261658377	0.7421092581768243	3	0.375	0.16946022727272728	e:1 g:1 e:1 e:1 e:1 f:1 k:1 f:1 i:1 d:1
all	ATOMS	f2v	8	f2v-l8-r001	N:M	low	35	33	19	111.71919089243825	0.8463575067608958	12	0.36363636363636365	0.12397650749923476	e:1 g:1 e:1 c:1 a:1 b:1 c:1 a:1 c:1 f:1 n:1 c:2 g:1 e:1 e:1 e:1 g:1 e:1 c:1 f:1 i:1 d:1 e:1 g:1 e:1 e:1 c:1 f:1 j:1 e:1 g:1 e:1 c:1 f:1 j:1
all	ATOMS	f2v	8	f2v-l8-r002	1:1	medium	12	10	4	34.07428866902179	0.8518572167255447	3	0.3	0.11186868686868685	e:1 c:1 h:2 c:1 f:1 j:1 c:1 e:1 c:1 h:2 e:1 h:1
all	EVA	f2r	1	f2r-l1-r001	1:1	low-medium	7	5	4	21.3840274765531	1.0067981343315402	0	0	0.05162907268170426	kydainy
all	EVA	f2r	1	f2r-l1-r002	N:M	low	17	15	8	53.76271144532609	0.8437480987325561	5	0.3333333333333333	0.11311212007474401	ypcholdaiinotchal
all	EVA	f2r	1	f2r-l1-r003	N:M	low	15	13	7	47.0818245246064	0.8525754731274101	5	0.38461538461538464	0.10009389881243426	ypchaiinckholsy
all	EVA	f2r	2	f2r-l2-r001	1:1	medium	8	6	0	22.971992074177056	0.9013019486748413	1	0.16666666666666666	0.0883367839889579	dorchory
all	EVA	f2r	2	f2r-l2-r002	N:1	low	5	3	1	10.841878797391995	0.8507583021822814	1	0.3333333333333333	0.10588064363808071	sshor
all	EVA	f2r	2	f2r-l2-r003	N:M	low	7	5	5	21.239637567217926	1	0	0	0.05263157894736842	cthycth
all	EVA	f2r	3	f2r-l3-r001	1:1	low-medium	7	5	3	18.358492384445963	0.8643505486544256	2	0.4	0.08872180451127819	qotaiin
all	EVA	f2r	3	f2r-l3-r002	N:1	low	5	3	1	10.476746203939467	0.8221064798291474	1	0.3333333333333333	0.12675020885547203	ychor
all	EVA	f2r	3	f2r-l3-r003	1:N	low	3	1	0	2.807354922057604	0.660876371636064	1	1	0.14285714285714285	chy
all	EVA	f2r	3	f2r-l3-r004	1:1	low-medium	3	1	1	4.247927513443585	1	0	0	0.05263157894736842	ydy
all	EVA	f2r	3	f2r-l3-r005	1:1	low-medium	6	4	3	17.136099963109515	1.0084976679144253	0	0	0.05137844611528822	chaiin
all	EVA	f2r	4	f2r-l4-r001	1:N	low	7	5	3	18.358492384445963	0.8643505486544256	2	0.4	0.08872180451127819	chaindy
all	EVA	f2r	4	f2r-l4-r002	N:M	low	19	17	12	67.5761087121654	0.9357657836162747	3	0.17647058823529413	0.07234839015697811	dycphydalschokaiind
all	EVA	f2r	5	f2r-l5-r001	N:M	low	9	7	6	28.294920002719117	0.9515537673765807	1	0.14285714285714285	0.06552094522019333	otochoral
all	EVA	f2r	5	f2r-l5-r002	N:M	low	15	13	6	41.84539265000065	0.7577521856259203	7	0.5384615384615384	0.13628739258029873	shodaiincholdan
all	EVA	f2r	5	f2r-l5-r003	N:M	low	11	9	5	30.527349946767373	0.798490030992401	4	0.4444444444444444	0.1232080200501253	ytchaiindan
