subset	representation	folio	line	region_id	relation_type	alignment_confidence	sequence_length	predicted_opportunities	corruptions	real_code_length_bits	median_corrupted_code_length_bits	mean_corrupted_code_length_bits	real_minus_median_corrupted_bits	real_minus_mean_corrupted_bits	real_better_than_median	real_better_than_all_corruptions	corrupted_better_count
all	EVA	f2r	8	f2r-l8-r002	N:M	low	14	12	100	44.0013976740032	51.1195200706582	50.882995676206136	-7.1181223966549965	-6.881598002202935	yes	yes	0
all	EVA	f2r	8	f2r-l8-r003	N:M	low	23	21	100	87.91029510026448	89.35086769165046	89.23690104932133	-1.4405725913859868	-1.3266059490568551	yes	no	6
all	EVA	f2r	9	f2r-l9-r001	1:1	low-medium	6	4	100	15.08980631083558	17.136099963109515	16.651435431375404	-2.046293652273935	-1.5616291205398234	yes	no	10
all	EVA	f2r	9	f2r-l9-r002	N:M	low	20	18	100	72.51449784677185	76.89586496999006	76.32288270494867	-4.381367123218212	-3.8083848581768223	yes	no	1
all	EVA	f2r	9	f2r-l9-r003	N:M	low	7	5	100	18.63412682705939	21.521844697859812	21.19097180088915	-2.8877178708004223	-2.5568449738297616	yes	no	1
all	EVA	f2r	9	f2r-l9-r004	N:M	low	11	9	100	30.997068883812876	37.40328856994019	37.09107108206483	-6.4062196861273115	-6.094002198251953	yes	no	1
all	EVA	f2r	10	f2r-l10-r001	N:M	low	16	14	100	50.23021636449908	59.90415491621572	59.55646086431654	-9.673938551716638	-9.326244499817463	yes	yes	0
all	EVA	f2r	10	f2r-l10-r002	N:M	low	10	8	100	26.279422433323795	34.25905455016211	33.8528118798831	-7.979632116838317	-7.573389446559304	yes	yes	0
all	EVA	f2r	10	f2r-l10-r003	N:M	low	14	12	100	48.51400933049966	51.1195200706582	50.94051928608889	-2.605510740158536	-2.426509955589232	yes	no	1
all	EVA	f2r	10	f2r-l10-r004	1:1	low-medium	5	3	100	7.669391281881862	12.743782540330756	10.82092677956062	-5.074391258448894	-3.1515354976787586	yes	no	0
all	EVA	f2r	11	f2r-l11-r001	N:M	low	9	7	100	28.294920002719117	29.87988250344027	29.41769746830589	-1.5849625007211543	-1.122777465586772	yes	no	10
all	EVA	f2r	11	f2r-l11-r002	N:M	low	12	10	100	40.162544212947665	42.90587217441292	42.352797531222976	-2.743327961465255	-2.1902533182753103	yes	no	7
