entity_type	entity_id	image_id	image_name	token	signature	atom_count	bounds_x	bounds_y	bounds_w	bounds_h	svg_path
atom	1836	3	page-003.jpg	e:1	e:1	1	1509	1063	47	52	atoms\e_1\page-003.jpg\1836.svg
atom	1840	3	page-003.jpg	c:1	c:1	1	1511	1040	53	52	atoms\c_1\page-003.jpg\1840.svg
atom	1841	3	page-003.jpg	h:2	h:2	1	1511	1045	48	69	atoms\h_2\page-003.jpg\1841.svg
atom	1837	3	page-003.jpg	e:1	e:1	1	1540	1061	47	52	atoms\e_1\page-003.jpg\1837.svg
atom	1842	3	page-003.jpg	f:1	f:1	1	1552	1061	45	53	atoms\f_1\page-003.jpg\1842.svg
atom	1843	3	page-003.jpg	f:1	f:1	1	1576	1066	40	52	atoms\f_1\page-003.jpg\1843.svg
atom	1844	3	page-003.jpg	i:1	i:1	1	1578	1029	51	73	atoms\i_1\page-003.jpg\1844.svg
atom	1845	3	page-003.jpg	d:1	d:1	1	1550	1024	74	38	atoms\d_1\page-003.jpg\1845.svg
atom	1759	3	page-003.jpg	c:1	c:1	1	764	1064	50	49	atoms\c_1\page-003.jpg\1759.svg
atom	1762	3	page-003.jpg	e:1	e:1	1	794	1059	49	54	atoms\e_1\page-003.jpg\1762.svg
atom	1763	3	page-003.jpg	c:1	c:1	1	798	1037	51	54	atoms\c_1\page-003.jpg\1763.svg
atom	1764	3	page-003.jpg	h:2	h:2	1	798	1047	46	66	atoms\h_2\page-003.jpg\1764.svg
atom	1765	3	page-003.jpg	e:1	e:1	1	826	1062	47	52	atoms\e_1\page-003.jpg\1765.svg
atom	1766	3	page-003.jpg	f:1	f:1	1	837	1062	46	49	atoms\f_1\page-003.jpg\1766.svg
atom	1767	3	page-003.jpg	f:1	f:1	1	861	1061	45	53	atoms\f_1\page-003.jpg\1767.svg
atom	1769	3	page-003.jpg	i:1	i:1	1	863	1017	50	79	atoms\i_1\page-003.jpg\1769.svg
atom	1771	3	page-003.jpg	d:1	d:1	1	808	1007	92	46	atoms\d_1\page-003.jpg\1771.svg
atom	1853	3	page-003.jpg	e:1	e:1	1	1760	1064	47	52	atoms\e_1\page-003.jpg\1853.svg
atom	1854	3	page-003.jpg	i:1	i:1	1	1771	1028	53	68	atoms\i_1\page-003.jpg\1854.svg
atom	1855	3	page-003.jpg	d:1	d:1	1	1748	1022	76	44	atoms\d_1\page-003.jpg\1855.svg
atom	3670	3	page-003.jpg	n:1	n:1	1	1659	1023	58	64	atoms\n_1\page-003.jpg\3670.svg
