image_name	row_index	unit_id	molecule_id	unit_index	atom_count	first_token	last_token	prefix2	suffix2	prev_molecule_id	prev_last_token	prev_suffix2	next_molecule_id	next_first_token	next_prefix2	signature
page-003.jpg	6	p003-u046	img3-m45	46	11	c:1	d:1	c:1 e:1	i:1 d:1	img3-m44	h:1	e:1 h:1	img3-m47	e:1	e:1 i:1	c:1 e:1 h:1 e:1 c:1 h:2 e:1 f:1 f:1 i:1 d:1
page-003.jpg	6	p003-u047	img3-m47	47	7	e:1	e:1	e:1 i:1	g:1 e:1	img3-m45	d:1	i:1 d:1	img3-m43	e:1	e:1 a:1	e:1 i:1 d:1 n:1 e:1 g:1 e:1
page-003.jpg	6	p003-u048	img3-m43	48	17	e:1	d:1	e:1 a:1	i:1 d:1	img3-m47	e:1	g:1 e:1	img3-m49	n:1	n:1 e:1	e:1 a:1 e:1 b:1 c:1 a:1 b:1 d:1 g:1 e:1 c:1 e:1 f:1 k:1 f:1 i:1 d:1
page-003.jpg	6	p003-u049	img3-m49	49	15	n:1	h:1	n:1 e:1	e:1 h:1	img3-m43	d:1	i:1 d:1				n:1 e:1 g:1 e:1 c:1 e:1 c:1 h:2 e:1 f:1 f:1 i:1 d:1 e:1 h:1
page-003.jpg	7	p003-u050	img3-m58	50	8	n:1	h:1	n:1 e:1	e:1 h:1				img3-m56	n:1	n:1 e:1	n:1 e:1 g:1 e:1 e:1 e:1 e:1 h:1
page-003.jpg	7	p003-u051	img3-m56	51	10	n:1	h:1	n:1 e:1	e:1 h:1	img3-m58	h:1	e:1 h:1	img3-m55	c:1	c:1 a:1	n:1 e:1 g:1 e:1 c:1 e:1 c:1 h:2 e:1 h:1
page-003.jpg	7	p003-u052	img3-m55	52	11	c:1	h:1	c:1 a:1	e:1 h:1	img3-m56	h:1	e:1 h:1	img3-m53	c:1	c:1 a:1	c:1 a:1 b:1 c:1 a:1 e:1 g:1 e:1 c:1 e:1 h:1
page-003.jpg	7	p003-u053	img3-m53	53	11	c:1	j:1	c:1 a:1	f:1 j:1	img3-m55	h:1	e:1 h:1	img3-m54	e:1	e:1 g:1	c:1 a:1 m:1 c:1 a:1 e:1 g:1 e:1 c:1 f:1 j:1
page-003.jpg	7	p003-u054	img3-m54	54	14	e:1	h:1	e:1 g:1	e:1 h:1	img3-m53	j:1	f:1 j:1	img3-m52	c:1	c:1 e:1	e:1 g:1 e:1 c:1 e:1 a:1 e:1 b:1 c:1 a:1 g:1 e:1 e:1 h:1
page-003.jpg	7	p003-u055	img3-m52	55	9	c:1	h:1	c:1 e:1	e:1 h:1	img3-m54	h:1	e:1 h:1	img3-m51	e:1	e:1 c:1	c:1 e:1 i:1 d:1 e:1 g:1 e:1 e:1 h:1
