macro_signature	count	share	examples
a:1 MEDIAL_OP c:1 a:1 e:1 MEDIAL_OP f:1 MEDIAL_OP d:1	1	0.0021	p003-u013
a:1 MEDIAL_OP c:1 a:1 MEDIAL_OP c:1 a:1 c:2 MEDIAL_OP e:1 e:1 e:1 e:1 h:1	1	0.0021	p094-u048
a:1 MEDIAL_OP c:1 a:1 MEDIAL_OP c:1 a:1 e:1 e:1 h:1	1	0.0021	p005-u063
a:1 MEDIAL_OP c:1 a:1 MEDIAL_OP d:1 f:1 MEDIAL_OP d:1 e:1 h:1 e:1 f:1 e:1 MEDIAL_OP e:1	1	0.0021	p003-u001
a:1 MEDIAL_OP c:1 a:1 n:1 e:1 MEDIAL_OP e:1 c:1 e:1 h:1	1	0.0021	p003-u074
a:1 MEDIAL_OP c:1 e:1 h:1	1	0.0021	p005-u051
c:1 a:1 e:1 MEDIAL_OP c:1 a:1 c:1 f:1 j:1	1	0.0021	p003-u145
c:1 a:1 e:1 MEDIAL_OP c:1 a:1 e:1 c:1 f:1 j:1	1	0.0021	p003-u077
c:1 a:1 e:1 MEDIAL_OP c:1 a:1 e:1 c:1 f:1 MEDIAL_OP d:1 e:1 MEDIAL_OP d:1 c:1 f:1 j:1 c:1 a:1 MEDIAL_OP c:1 a:1 e:1 h:1	1	0.0021	p003-u031
c:1 a:1 e:1 MEDIAL_OP c:1 a:1 e:1 h:1	1	0.0021	p003-u126
c:1 a:1 e:1 MEDIAL_OP c:1 a:1 e:1 MEDIAL_OP e:1 c:1	1	0.0021	p004-u081
c:1 a:1 e:1 MEDIAL_OP c:1 a:1 e:1 MEDIAL_OP e:1 e:1 f:1 f:1 j:1	1	0.0021	p005-u005
c:1 a:1 MEDIAL_OP c:1 a:1 c:1 e:1 c:1 h:2 e:1 f:1 f:1 MEDIAL_OP d:1	1	0.0021	p004-u014
c:1 a:1 MEDIAL_OP c:1 a:1 c:1 e:1 f:1 MEDIAL_OP f:1 MEDIAL_OP d:1	1	0.0021	p004-u038
c:1 a:1 MEDIAL_OP c:1 a:1 c:1 e:1 MEDIAL_OP e:1 c:1 f:1 MEDIAL_OP d:1	1	0.0021	p005-u027
c:1 a:1 MEDIAL_OP c:1 a:1 c:1 f:1 j:1 n:1 e:1 MEDIAL_OP e:1	1	0.0021	p004-u062
c:1 a:1 MEDIAL_OP c:1 a:1 c:2 MEDIAL_OP e:1 c:1 a:1 MEDIAL_OP c:1 a:1 e:1 MEDIAL_OP e:1 e:1 h:1	1	0.0021	p094-u057
c:1 a:1 MEDIAL_OP c:1 a:1 e:1 e:1 e:1	1	0.0021	p003-u175
c:1 a:1 MEDIAL_OP c:1 a:1 e:1 f:1 f:1 j:1	1	0.0021	p004-u044
c:1 a:1 MEDIAL_OP c:1 a:1 e:1 f:1 f:1 j:1 e:1 c:2 h:2	1	0.0021	p094-u076
c:1 a:1 MEDIAL_OP c:1 a:1 e:1 f:1 f:1 MEDIAL_OP d:1	1	0.0021	p003-u036
c:1 a:1 MEDIAL_OP c:1 a:1 e:1 f:1 l:1 f:1 MEDIAL_OP d:1	1	0.0021	p003-u095
c:1 a:1 MEDIAL_OP c:1 a:1 e:1 f:1 l:1 f:1 MEDIAL_OP d:1 l:1 f:1 MEDIAL_OP d:1	1	0.0021	p003-u075
c:1 a:1 MEDIAL_OP c:1 a:1 e:1 f:1 MEDIAL_OP f:1 MEDIAL_OP d:1 e:1 MEDIAL_OP e:1 e:1 e:1 h:1	1	0.0021	p003-u136
c:1 a:1 MEDIAL_OP c:1 a:1 e:1 h:1	1	0.0021	p003-u176
